"Label (Grouping)","Norfolk County, Massachusetts!!Estimate","Norfolk County, Massachusetts!!Margin of Error"
"Total:","724,505","*****"
"    Not Hispanic or Latino:","684,875","*****"
"        White alone","509,498","±2,769"
"        Black or African American alone","48,577","±3,548"
"        American Indian and Alaska Native alone","553","±370"
"        Asian alone","89,935","±2,349"
"        Native Hawaiian and Other Pacific Islander alone","119","±143"
"        Some other race alone","4,986","±2,074"
"        Two or more races:","31,207","±5,305"
"            Two races including Some other race","14,012","±4,062"
"            Two races excluding Some other race, and three or more races","17,195","±2,934"
"    Hispanic or Latino:","39,630","*****"
"        White alone","3,557","±1,250"
"        Black or African American alone","2,037","±960"
"        American Indian and Alaska Native alone","356","±334"
"        Asian alone","680","±544"
"        Native Hawaiian and Other Pacific Islander alone","169","±267"
"        Some other race alone","8,867","±2,490"
"        Two or more races:","23,964","±2,626"
"            Two races including Some other race","21,635","±2,651"
"            Two races excluding Some other race, and three or more races","2,329","±1,216"
